08:41:52.962 |I| Core                           | RequestBuilder thread:9        | MsBuild process with Id = 157
08:41:52.979 |I| Core                           | RequestBuilder thread:9        | MsBuild location = /usr/share/dotnet/sdk/7.0.400/MSBuild.dll
08:41:52.979 |I| Core                           | RequestBuilder thread:9        | ServerGC = False
08:41:52.979 |I| Core                           | RequestBuilder thread:9        | 
08:41:52.979 |I| Core                           | RequestBuilder thread:9        | Start ControllerTask...
08:41:52.981 |I| Core                           | RequestBuilder thread:9        | Detected version: 17.7
08:41:52.981 |I| Core                           | RequestBuilder thread:9        | Creating SocketWire with port = 34267
08:41:53.076 |I| Core                           | RequestBuilder thread:9        | Create protocol...
08:41:53.215 |I| Core                           | RequestBuilder thread:9        | Create MsBuildModel and advise for new sessions...
08:41:53.315 |I| Core                           | RequestBuilder thread:9        | Subscribe for changes...
08:41:53.316 |I| Core                           | RequestBuilder thread:9        | Setup process watchdog...
08:41:53.366 |I| Core                           | RequestBuilder thread:9        | Run dispatcher...
08:41:53.371 |I| ProcessWatchdog                | WatchParentPid:94:15           | Monitoring parent process PID:94
08:41:53.451 |I| Core                           | RequestBuilder thread:9        | Get protocol session 'RdProjectModelSession'
08:41:53.466 |I| Core                           | RequestBuilder thread:9        | Msbuild session 'ProjectModelSessionHost' created
08:41:53.532 |I| Core                           | RequestBuilder thread:9        | Change Verbosity to INFO
08:41:53.629 |I| ProjectModel                   | RequestBuilder thread:9        | Reloading 18 project(s) in 1 node(s)...
08:41:53.629 |I| ProjectModel                   | RequestBuilder thread:9        | Reason: WarmStartup
08:41:53.652 |I| Build                          | MSBuild LoggingService events queue pump: 65273341:17 | Build started.
08:41:53.671 |I| BuildQueue                     | RequestBuilder thread:9        | Build queue: False
08:41:54.585 |I| BuildQueue                     | RequestBuilder thread:9        | Build immediately: \data\project\Core.Parameter.csproj
08:41:54.594 |I| Build                          | RequestBuilder thread:9        | Start build 'Core.Parameter.csproj' with 1 target frameworks
08:41:54.648 |I| Build                          | RequestBuilder thread:9        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
08:41:54.660 |I| BuildQueue                     | RequestBuilder thread:9        | Build immediately: \data\project\Editor.csproj
08:41:54.660 |I| Build                          | RequestBuilder thread:9        | Start build 'Editor.csproj' with 1 target frameworks
08:41:54.670 |I| Build                          | RequestBuilder thread:9        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
08:41:54.672 |I| BuildQueue                     | RequestBuilder thread:9        | Build immediately: \data\project\GameMain.csproj
08:41:54.672 |I| Build                          | RequestBuilder thread:9        | Start build 'GameMain.csproj' with 1 target frameworks
