# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.stubs.lookupDuration90PMs,1693127558795000000,1693127609379000000,0.0
Indexes.entries.lookupDuration90PMs,1693127558795000000,1693127609379000000,12.0
Indexes.stubs.lookups,1693127558795000000,1693127609379000000,0.0
Indexes.entries.lookupDurationAvgMs,1693127558795000000,1693127609379000000,12.0
Indexes.stubs.lookupDurationMaxMs,1693127558795000000,1693127609379000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1693127558795000000,1693127609379000000,2.0
Indexes.allKeys.lookups,1693127558795000000,1693127609379000000,2.0
Indexes.allKeys.lookupDurationAvgMs,1693127558795000000,1693127609379000000,1.0
Indexes.entries.lookupDurationMaxMs,1693127558795000000,1693127609379000000,12.0
Indexes.allKeys.lookupDuration90PMs,1693127558795000000,1693127609379000000,2.0
Indexes.stubs.lookupDurationAvgMs,1693127558795000000,1693127609379000000,0.0
Indexes.entries.lookups,1693127558795000000,1693127609379000000,1.0
FileNameCache.queries,1693127558795000000,1693127609379000000,437789
FileNameCache.fastMisses,1693127558795000000,1693127609379000000,7314
FileNameCache.totalMisses,1693127558795000000,1693127609379000000,1418
workspaceModel.to.snapshot.ms,1693127558795000000,1693127609379000000,0
workspaceModel.loading.from.cache.ms,1693127558795000000,1693127609379000000,370
workspaceModel.loading.total.ms,1693127558795000000,1693127609379000000,491
workspaceModel.init.bridges.ms,1693127558795000000,1693127609379000000,2
workspaceModel.updates.count,1693127558795000000,1693127609379000000,4
workspaceModel.collect.changes.ms,1693127558795000000,1693127609379000000,0
workspaceModel.updates.precise.ms,1693127558795000000,1693127609379000000,40
workspaceModel.initializing.ms,1693127558795000000,1693127609379000000,2
workspaceModel.check.recursive.update.ms,1693127558795000000,1693127609379000000,8
workspaceModel.updates.ms,1693127558795000000,1693127609379000000,149
workspaceModel.replace.project.model.ms,1693127558795000000,1693127609379000000,16
workspaceModel.update.unloaded.entities.ms,1693127558795000000,1693127609379000000,0
workspaceModel.pre.handlers.ms,1693127558795000000,1693127609379000000,0
jps.load.initial.state.ms,1693127558795000000,1693127609379000000,16
jps.artifact.entities.serializer.save.entities.ms,1693127558795000000,1693127609379000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1693127558795000000,1693127609379000000,491
jps.global.handle.before.change.events.ms,1693127558795000000,1693127609379000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1693127558795000000,1693127609379000000,0
workspaceModel.mutableEntityStorage.entities.ms,1693127558795000000,1693127609379000000,0
workspaceModel.load.cache.from.file.ms,1693127558795000000,1693127609379000000,369
workspaceModel.global.updates.ms,1693127558795000000,1693127609379000000,0
workspaceModel.global.updates.count,1693127558795000000,1693127609379000000,0
jps.facet.change.listener.init.bridge.ms,1693127558795000000,1693127609379000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1693127558795000000,1693127609379000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1693127558795000000,1693127609379000000,4
workspaceModel.sync.entities.ms,1693127558795000000,1693127609379000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1693127558795000000,1693127609379000000,25
workspaceModel.moduleManagerBridge.newModule.ms,1693127558795000000,1693127609379000000,0
jps.save.global.entities.ms,1693127558795000000,1693127609379000000,1
workspaceModel.moduleBridge.update.option.ms,1693127558795000000,1693127609379000000,0
jps.facet.change.listener.process.change.events.ms,1693127558795000000,1693127609379000000,1
jps.app.storage.content.writer.save.component.ms,1693127558795000000,1693127609379000000,0
jps.load.project.to.empty.storage.ms,1693127558795000000,1693127609379000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1693127558795000000,1693127609379000000,66
jps.global.get.library.by.name.ms,1693127558795000000,1693127609379000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1693127558795000000,1693127609379000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1693127558795000000,1693127609379000000,0
workspaceModel.moduleBridge.before.changed.ms,1693127558795000000,1693127609379000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1693127558795000000,1693127609379000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1693127558795000000,1693127609379000000,5
workspaceModel.save.cache.to.file.ms,1693127558795000000,1693127609379000000,2213
jps.global.get.library.ms,1693127558795000000,1693127609379000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1693127558795000000,1693127609379000000,1
jps.global.initialize.library.bridges.ms,1693127558795000000,1693127609379000000,0
jps.storage.jps.conf.reader.load.component.ms,1693127558795000000,1693127609379000000,4
jps.facet.change.listener.before.change.events.ms,1693127558795000000,1693127609379000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1693127558795000000,1693127609379000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1693127558795000000,1693127609379000000,10
workspaceModel.mutableEntityStorage.resolve.ms,1693127558795000000,1693127609379000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1693127558795000000,1693127609379000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1693127558795000000,1693127609379000000,0
jps.global.get.libraries.ms,1693127558795000000,1693127609379000000,1
jps.reload.project.entities.ms,1693127558795000000,1693127609379000000,0
jps.global.initialize.library.bridges.after.loading.ms,1693127558795000000,1693127609379000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1693127558795000000,1693127609379000000,294
jps.project.serializers.load.ms,1693127558795000000,1693127609379000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1693127558795000000,1693127609379000000,87
jps.library.entities.serializer.save.entities.ms,1693127558795000000,1693127609379000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1693127558795000000,1693127609379000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1693127558795000000,1693127609379000000,656
workspaceModel.global.apply.state.to.project.ms,1693127558795000000,1693127609379000000,96
jps.app.storage.content.reader.load.component.ms,1693127558795000000,1693127609379000000,0
jps.project.serializers.save.ms,1693127558795000000,1693127609379000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1693127558795000000,1693127609379000000,2
workspaceModel.mutableEntityStorage.modify.entity.ms,1693127558795000000,1693127609379000000,187
workspaceModel.orphan.listener.update.ms,1693127558795000000,1693127609379000000,3
jps.global.handle.changed.events.ms,1693127558795000000,1693127609379000000,0
jps.apply.loaded.storage.ms,1693127558795000000,1693127609379000000,0
jps.library.entities.serializer.load.entities.ms,1693127558795000000,1693127609379000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1693127558795000000,1693127609379000000,0
jps.artifact.entities.serializer.load.entities.ms,1693127558795000000,1693127609379000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1693127558795000000,1693127609379000000,0
jps.save.changed.project.entities.ms,1693127558795000000,1693127609379000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1693127558795000000,1693127609379000000,0
NonBlockingReadAction.failedExecutionsCount,1693127558795000000,1693127609379000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1693127558795000000,1693127609379000000,1558552
AWTEventQueue.dispatchTimeTotalNS,1693127558795000000,1693127609379000000,10715983588
NonBlockingReadAction.finalizedExecutionsCount,1693127558795000000,1693127609379000000,712
NonBlockingReadAction.failedExecutionTimeUs,1693127558795000000,1693127609379000000,0
FilePageCache.totalPageDisposalsUs,1693127558795000000,1693127609379000000,417
StorageLockContext.competingThreads.90P,1693127558795000000,1693127609379000000,0
DirectByteBufferAllocator.reclaimed,1693127558795000000,1693127609379000000,66
FilePageCache.disposedBuffers,1693127558795000000,1693127609379000000,185
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1693127558795000000,1693127609379000000,52609024
DirectByteBufferAllocator.hits,1693127558795000000,1693127609379000000,3
